"position","title","artists","duration","inferred_source_style","inferred_mood","inferred_energy","inferred_tempo_band","metal_conversion_direction","lyric_theme_direction","suno_prompt"
23,"Time Marches On","Tracy Lawrence","03:05","Title/artist-informed creative inference: narrative country ballad","Title/artist-informed creative inference: reflective and bittersweet","Title/artist-informed creative inference: medium","Title/artist-informed creative inference: steady mid-tempo feel; no measured BPM","Progressive melodic metal with repeating clock-like motif, evolving verses, and a broad final refrain.","Title/artist-informed creative inference: an automated station repeating its schedule after evacuation until one operator interrupts the cycle; write entirely new lyrics.","Original progressive melodic-metal science-fiction scene, steady mid-tempo pulse, clock-like clean motif, mechanical verse layers, broad final refrain, and an abrupt silent bar; entirely new lyrics follow the last operator on an evacuated station choosing to stop its endless schedule and set a new course."
24,"How Do You Like Me Now?!","Toby Keith","03:29","Title/artist-informed creative inference: country-rock comeback anthem","Title/artist-informed creative inference: triumphant and confrontational","Title/artist-informed creative inference: high","Title/artist-informed creative inference: brisk-feel; no measured BPM","Modern metalcore with bouncing verse riffs, a rising pre-chorus, and a clean victory hook.","Title/artist-informed creative inference: proving doubters wrong without cruelty; write entirely new lyrics.","Original modern metalcore comeback anthem, brisk bouncing verse riff, rising pre-chorus, clean victory hook, brief screamed accents, and a breakdown built around earned confidence; new lyrics answer past doubt without threats or copied phrases."
25,"Where The Green Grass Grows","Tim McGraw","03:21","Title/artist-informed creative inference: country nostalgia anthem","Title/artist-informed creative inference: hopeful and homesick","Title/artist-informed creative inference: medium-high","Title/artist-informed creative inference: driving mid-tempo feel; no measured BPM","Melodic southern metal with ringing guitars, propulsive drums, and an open-sky chorus.","Title/artist-informed creative inference: leaving urban pressure for a grounded home; write entirely new lyrics.","Original melodic southern-metal homecoming song, driving mid-tempo drums, ringing guitars over a firm low riff, warm vocal, and open-sky chorus; write new lyrics about trading relentless city noise for a place built by hand."
26,"There's A Tear In My Beer","Hank Williams, Jr., Hank Williams","02:52","Title/artist-informed creative inference: classic country tearjerker duet","Title/artist-informed creative inference: sorrowful and barroom-weary","Title/artist-informed creative inference: low","Title/artist-informed creative inference: slow-feel; no measured BPM","Doom-country duet with sparse clean guitar, bowed bass color, and a crushing refrain.","Title/artist-informed creative inference: heartbreak reflected in a lonely drink; write entirely new lyrics.","Original doom-country duet, slow-feel, sparse clean guitar, bowed-bass texture, distant cymbal swells, two weathered voices trading verses, and a crushing refrain; fresh lyrics use a new barroom image for grief without quoting a source."
27,"Every Light In The House","Trace Adkins","02:59","Title/artist-informed creative inference: country heartbreak ballad","Title/artist-informed creative inference: lonely and steadfast","Title/artist-informed creative inference: low to medium","Title/artist-informed creative inference: slow-to-mid feel; no measured BPM","Atmospheric post-metal with clean guitar pulses, gradually stacked distortion, and a luminous final chord.","Title/artist-informed creative inference: keeping a visible sign of welcome after separation; write entirely new lyrics.","Original atmospheric post-metal ballad, slow-to-mid pulse, clean guitar figures like distant signals, gradually stacked distortion, restrained vocal, and a luminous final chord; new lyrics center on leaving a nightly sign for someone who may never return."
28,"Don't Take Her She's All I Got","Tracy Byrd","03:28","Title/artist-informed creative inference: pleading traditional country","Title/artist-informed creative inference: desperate and vulnerable","Title/artist-informed creative inference: medium","Title/artist-informed creative inference: mid-tempo feel; no measured BPM","Melodic heavy metal with tense minor-key verses, double-kick lift, and a vulnerable clean chorus.","Title/artist-informed creative inference: fear of losing one's emotional anchor; write entirely new lyrics.","Original melodic heavy-metal plea, mid-tempo minor-key verses, tense bass movement, double-kick lift into a vulnerable clean chorus, and a concise emotional solo; write a new story about fearing the loss of one's last dependable bond."
29,"I Can Still Make Cheyenne","George Strait","04:16","Title/artist-informed creative inference: western separation ballad","Title/artist-informed creative inference: resigned and windswept","Title/artist-informed creative inference: low to medium","Title/artist-informed creative inference: slow-feel; no measured BPM","Western doom metal with spacious clean picking, hoofbeat toms, and a heavy horizon-wide chorus.","Title/artist-informed creative inference: choosing the road after a relationship ends; write entirely new lyrics.","Original western doom-metal separation tale, slow-feel, spacious clean picking, hoofbeat toms, low vocal, and a horizon-wide distorted chorus; fresh lyrics follow a traveler accepting a breakup and aiming for the next distant town."
30,"Amarillo By Morning","George Strait","02:53","Title/artist-informed creative inference: western country road song","Title/artist-informed creative inference: determined and wistful","Title/artist-informed creative inference: medium-high","Title/artist-informed creative inference: galloping mid-tempo feel; no measured BPM","Traditional heavy metal with galloping bass, harmonized leads, and a dawn-breaking chorus.","Title/artist-informed creative inference: sacrifice, travel, and persistence toward the next event; write entirely new lyrics.","Original traditional heavy-metal road song, galloping mid-tempo bass, harmonized guitar leads, tight snare, clear weathered vocal, and a dawn-breaking chorus; new lyrics follow a performer crossing empty miles after another setback."
31,"Don't Take The Girl","Tim McGraw","04:09","Title/artist-informed creative inference: dramatic narrative country ballad","Title/artist-informed creative inference: tender and tragic","Title/artist-informed creative inference: low with a strong climax","Title/artist-informed creative inference: slow-feel; no measured BPM","Symphonic metal ballad with recurring piano motif, restrained strings, and a final orchestral-metal peak.","Title/artist-informed creative inference: a mountain settlement resisting an automated lottery that selects its only mapmaker for exile; write entirely new lyrics without romance or life-stage framing.","Original symphonic-metal dystopian scene, slow-feel, recurring piano pulse, restrained strings, ensemble clean vocals, and one final orchestral-metal peak; entirely new lyrics follow a mountain settlement disabling a lottery machine before it can exile the only person who can map a safe winter route."
32,"Country Song Backwards","Zack Van Arsdale","02:29","Title/artist-informed creative inference: novelty country satire","Title/artist-informed creative inference: absurd and upbeat","Title/artist-informed creative inference: high","Title/artist-informed creative inference: brisk-feel; no measured BPM","Comedy metal with reverse-cymbal motifs, sudden arrangement rewinds, and a tight punk-metal chorus.","Title/artist-informed creative inference: reversing familiar misfortunes for comic effect; write entirely new lyrics.","Original comedy-metal miniature, brisk-feel, reverse-cymbal motifs, two sudden arrangement rewinds, tight punk-metal chorus, and a playful solo; fresh lyrics reverse a sequence of everyday disasters without borrowing stock lines from any song."
33,"I'm Gonna Get Drunk and Play Hank Williams All Night Long","Jim Harding","03:10","Title/artist-informed creative inference: drinking-song country novelty","Title/artist-informed creative inference: rebellious and rueful","Title/artist-informed creative inference: high","Title/artist-informed creative inference: fast-feel; no measured BPM","Punk-metal bar anthem with fast downstrokes, gang vocals, and a rough melodic bridge.","Title/artist-informed creative inference: using old records and a loud night to process heartbreak; write entirely new lyrics without naming artists.","Original punk-metal bar anthem, fast downstrokes, snapping drums, gang-vocal hook, and a rough melodic bridge; new lyrics follow someone using dusty records and one loud night to process heartbreak, with no named-artist references."
34,"Time to Take My Drunk Ass Home","Stu Edwards & Gone Country","03:17","Title/artist-informed creative inference: barroom country novelty","Title/artist-informed creative inference: comic and exhausted","Title/artist-informed creative inference: high then winding down","Title/artist-informed creative inference: brisk-feel; no measured BPM","Speed-metal comedy with accelerating verses, a lurching half-time bridge, and a final stumble-stop.","Title/artist-informed creative inference: recognizing the night has gone too far and leaving safely; write entirely new lyrics.","Original speed-metal comedy song, brisk accelerating verses, lurching half-time bridge, shouted group hook, and a final stumble-stop; fresh lyrics chart the clues that convince a narrator to call a ride and leave safely."
35,"Goin' Through The Big D","Mark Chesnutt","02:35","Title/artist-informed creative inference: 1990s country breakup song","Title/artist-informed creative inference: wry and frustrated","Title/artist-informed creative inference: medium-high","Title/artist-informed creative inference: brisk mid-tempo feel; no measured BPM","Groove metal with clipped riffs, paperwork-like percussion accents, and a sharp singalong chorus.","Title/artist-informed creative inference: divorce bureaucracy and emotional upheaval; write entirely new lyrics.","Original groove-metal breakup satire, brisk mid-tempo clipped riff, percussive accents suggesting stamps and files, dry vocal delivery, and a sharp singalong chorus; new lyrics turn legal paperwork into a maze of emotional consequences."
36,"Bubba Shot The Jukebox","Mark Chesnutt","03:05","Title/artist-informed creative inference: honky-tonk dark comedy","Title/artist-informed creative inference: chaotic and playful","Title/artist-informed creative inference: high","Title/artist-informed creative inference: brisk-feel; no measured BPM","Cowpunk thrash with rebounding guitar accents, rapid verses, and a comic courtroom bridge.","Title/artist-informed creative inference: an impulsive barroom act and ridiculous excuses; write entirely new lyrics.","Original cowpunk-thrash dark comedy, brisk-feel, rebounding guitar accents, rapid narrative verses, stop-time chorus, and a mock courtroom bridge; invent a new harmlessly absurd barroom mishap rather than recreating the source event."
37,"A Country Boy Can Survive","Hank Williams, Jr.","04:15","Title/artist-informed creative inference: outlaw-country survival anthem","Title/artist-informed creative inference: resilient and defiant","Title/artist-informed creative inference: high","Title/artist-informed creative inference: heavy mid-tempo feel; no measured BPM","Southern groove metal with massive downbeat riff, sparse banjo-like picking, and an anthemic resilience chorus.","Title/artist-informed creative inference: practical self-reliance and community endurance; write entirely new lyrics.","Original southern groove-metal resilience anthem, heavy mid-tempo downbeat riff, sparse high-string picking, thunderous toms, gritty clean vocal, and a communal chorus; new lyrics focus on practical skills and neighbors surviving a long emergency."
38,"Down On The Farm","Tim McGraw","02:58","Title/artist-informed creative inference: upbeat rural country-rock","Title/artist-informed creative inference: energetic and celebratory","Title/artist-informed creative inference: high","Title/artist-informed creative inference: driving feel; no measured BPM","Industrial groove metal with machine-like rhythm guitars, barn-sized drums, and a festival chorus.","Title/artist-informed creative inference: rural work transforming into communal celebration; write entirely new lyrics.","Original industrial groove-metal rural festival, driving machine-like guitars, barn-sized drums, brief clean fiddle-like lead tone, and a wide crowd chorus; fresh lyrics move from a hard workday into an improvised nighttime celebration."
39,"Prop Me Up Beside the Jukebox (If I Die)","Joe Diffie","03:46","Title/artist-informed creative inference: honky-tonk dark comedy","Title/artist-informed creative inference: macabre and affectionate","Title/artist-informed creative inference: medium-high","Title/artist-informed creative inference: brisk mid-tempo feel; no measured BPM","Horror-punk metal with organ stabs, stomping riff, and a theatrical last-request chorus.","Title/artist-informed creative inference: an eccentric memorial wish and loyalty to a gathering place; write entirely new lyrics.","Original horror-punk metal wake song, brisk mid-tempo stomp, organ stabs, crunchy guitars, theatrical vocal, and a darkly funny last-request chorus; invent a new eccentric memorial plan centered on keeping a favorite room lively."
40,"Long Haired Country Boy","The Charlie Daniels Band","04:00","Title/artist-informed creative inference: southern country-rock","Title/artist-informed creative inference: independent and laid-back","Title/artist-informed creative inference: medium-high","Title/artist-informed creative inference: mid-tempo groove; no measured BPM","Southern hard metal with blues-scale riffing, wah lead, and an unhurried but forceful chorus.","Title/artist-informed creative inference: personal freedom and resisting judgment; write entirely new lyrics.","Original southern hard-metal independence song, unhurried mid-tempo groove, blues-scale riff, thick bass, wah-colored lead break, and forceful clean chorus; new lyrics defend a quiet unconventional life without repeating familiar slogans."
41,"Whiskey Bent And Hell Bound","Hank Williams, Jr.","03:08","Title/artist-informed creative inference: outlaw-country confession","Title/artist-informed creative inference: reckless and self-aware","Title/artist-informed creative inference: medium-high","Title/artist-informed creative inference: heavy mid-tempo feel; no measured BPM","Sludge metal with dragging riffs, cracked clean vocals, and a brief frantic solo representing loss of control.","Title/artist-informed creative inference: knowing a destructive pattern while repeating it; write entirely new lyrics.","Original sludge-metal confession, heavy mid-tempo drag, cracked clean vocal, low guitar bends, and a brief frantic solo that signals lost control; fresh lyrics confront the gap between recognizing a destructive cycle and stopping it."
42,"Daddy's Money","Ricochet","03:03","Title/artist-informed creative inference: upbeat 1990s country","Title/artist-informed creative inference: flashy and teasing","Title/artist-informed creative inference: high","Title/artist-informed creative inference: brisk-feel; no measured BPM","Glam-metal satire with bright riffs, handclaps, stacked vocals, and a flashy but compact solo.","Title/artist-informed creative inference: privilege, charm, and the difference between image and character; write entirely new lyrics.","Original glam-metal social satire, brisk bright riff, handclaps, stacked chorus vocals, flashy compact solo, and a playful narrator; new lyrics contrast inherited shine with the harder task of building genuine character."
43,"There Ain't Nothin' Wrong with the Radio","Aaron Tippin","02:45","Title/artist-informed creative inference: country novelty road song","Title/artist-informed creative inference: cheerful and resourceful","Title/artist-informed creative inference: high","Title/artist-informed creative inference: driving feel; no measured BPM","Industrial hard metal with radio-static transitions, rattling percussion, and a triumphant chorus.","Title/artist-informed creative inference: loving an imperfect vehicle for the one thing that still works; write entirely new lyrics.","Original industrial hard-metal road comedy, driving pulse, radio-static transitions, rattling percussion, crunchy riff, and triumphant singalong chorus; invent a different failing machine whose one reliable feature keeps the narrator loyal."
44,"Trashy Women - Remastered Version","Confederate Railroad","03:14","Title/artist-informed creative inference: southern country-rock novelty","Title/artist-informed creative inference: rowdy and irreverent","Title/artist-informed creative inference: high","Title/artist-informed creative inference: brisk-feel; no measured BPM","Sleaze-metal party track with swagger riff, gang accents, and a consent-forward modern lyric angle.","Title/artist-informed creative inference: attraction to unapologetic nonconformity; write entirely new, respectful lyrics.","Original sleaze-metal party track, brisk swagger riff, punchy drums, gang accents, and a flashy lead break; fresh lyrics admire confident adult nonconformists while keeping the perspective respectful, mutual, and consent-forward."
45,"Mammas Don't Let Your Babies Grow up to Be Cowboys","Waylon Jennings, Willie Nelson","02:37","Title/artist-informed creative inference: outlaw-country duet warning","Title/artist-informed creative inference: affectionate and cautionary","Title/artist-informed creative inference: medium","Title/artist-informed creative inference: relaxed mid-tempo feel; no measured BPM","Twin-vocal folk metal with acoustic pulse, heavy galloping refrain, and dual harmonized leads.","Title/artist-informed creative inference: warning against romanticizing a lonely vocation; write entirely new lyrics.","Original twin-vocal folk-metal warning, relaxed acoustic pulse, heavy galloping refrain, two contrasting clean voices, and dual harmonized leads; new lyrics caution a younger generation about idealizing a glamorous but isolating trade."
46,"Indian Outlaw","Tim McGraw","03:02","Title/artist-informed creative inference: 1990s country novelty anthem","Title/artist-informed creative inference: boastful and playful","Title/artist-informed creative inference: high","Title/artist-informed creative inference: driving feel; no measured BPM","Groove metal focused on outsider swagger, using neutral modern imagery and avoiding cultural caricature.","Title/artist-informed creative inference: outsider identity and boastful self-invention; write entirely new lyrics without stereotypes.","Original groove-metal outsider anthem, driving syncopated riff, punchy drums, confident clean vocal, and a broad chorus; build a fictional modern drifter identity from personal choices and road-earned details, avoiding ethnic imagery and stereotypes."
47,"Finally Friday","George Jones","02:44","Title/artist-informed creative inference: upbeat traditional country","Title/artist-informed creative inference: relieved and celebratory","Title/artist-informed creative inference: high","Title/artist-informed creative inference: brisk-feel; no measured BPM","Punk-metal weekend anthem with countdown vocals, fast chords, and a half-time release chorus.","Title/artist-informed creative inference: end-of-week relief and modest celebration; write entirely new lyrics.","Original punk-metal end-of-week release, brisk-feel, fast downstroke chords, countdown backing vocals, half-time chorus, and a compact melodic solo; new lyrics move through the last hour of a difficult shift into a simple night with friends."
48,"All My Rowdy Friends (Have Settled Down)","Hank Williams, Jr.","04:00","Title/artist-informed creative inference: reflective outlaw country","Title/artist-informed creative inference: nostalgic and lonely","Title/artist-informed creative inference: low to medium","Title/artist-informed creative inference: slow-to-mid feel; no measured BPM","Doom metal with subdued verses, aging-room ambience, and a heavy chorus about vanished noise.","Title/artist-informed creative inference: aging, changed friendships, and the silence after old excess; write entirely new lyrics.","Original doom-metal reflection on aging friendships, slow-to-mid feel, subdued clean verses, room-tone ambience, heavy chorus, and a restrained melodic solo; fresh lyrics notice how familiar gathering places grow quiet as lives change."
